wavelength, flux, error 
488.4,0.876,0.044
488.5,0.786,0.039
488.6,0.732,0.037
488.7,0.668,0.033
488.8,0.764,0.038
488.9,0.617,0.031
489,0.82,0.041
489.1,0.369,0.018
489.2,0.701,0.035
489.3,0.813,0.041
489.4,0.946,0.047
489.5,0.938,0.047
489.6,0.87,0.044
489.7,0.916,0.046
489.8,0.977,0.049
489.9,0.899,0.045
490,0.792,0.04
490.1,0.841,0.042
490.2,0.835,0.042
490.3,0.729,0.036
490.4,0.786,0.039
490.5,0.912,0.046
490.6,0.941,0.047
490.7,0.906,0.045
490.8,0.776,0.039
490.9,0.862,0.043
491,0.712,0.036
491.1,0.844,0.042
491.2,0.744,0.037
491.3,0.914,0.046
491.4,0.797,0.04
491.5,0.802,0.04
491.6,0.915,0.046
491.7,0.804,0.04
491.8,0.785,0.039
491.9,0.544,0.027
492,0.553,0.028
492.1,0.629,0.031
492.2,0.744,0.037
492.3,0.94,0.047
492.4,0.847,0.042
492.5,0.655,0.033
492.6,0.871,0.044
492.7,0.826,0.041
492.8,0.85,0.042
492.9,0.945,0.047
493,0.858,0.043
493.1,0.932,0.047
493.2,0.908,0.045
493.3,0.772,0.039
493.4,0.673,0.034
493.5,0.847,0.042
493.6,0.734,0.037
493.7,0.846,0.042
493.8,0.708,0.035
493.9,0.549,0.027
494,0.581,0.029
494.1,0.859,0.043
494.2,0.748,0.037
494.3,0.845,0.042
494.4,0.917,0.046
494.5,0.873,0.044
494.6,0.76,0.038
494.7,0.95,0.048
494.8,0.855,0.043
494.9,0.864,0.043
495,0.812,0.041
495.1,0.974,0.049
495.2,0.962,0.048
495.3,0.838,0.042
495.4,0.92,0.046
495.5,0.691,0.035
495.6,0.847,0.042
495.7,0.518,0.026
495.8,0.534,0.027
495.9,0.891,0.045
496,0.89,0.045
496.1,0.925,0.046
496.2,0.816,0.041
496.3,0.841,0.042
496.4,0.849,0.042
496.5,0.699,0.035
496.6,0.734,0.037
496.7,0.786,0.039
496.8,0.71,0.036
496.9,0.817,0.041
497,0.781,0.039
497.1,0.821,0.041
497.2,0.89,0.045
497.3,0.748,0.037
497.4,0.832,0.042
497.5,0.884,0.044
497.6,0.826,0.041
497.7,0.849,0.042
497.8,0.716,0.036
497.9,0.641,0.032
498,0.692,0.035
