Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
339.10,12.86,0.34,81.0,28.0
341.00,4.98,0.89,8.2,98.0
341.01,16.31,1.84,19.9,36.0
343.00,7.72,0.74,21.5,110.0
343.10,12.52,1.85,373.7,27.0
343.10,12.56,1.88,373.7,27.0
344.00,0.46,-0.16,34.1,137.0
345.00,7.66,0.68,42.4,87.0
345.01,10.07,0.47,77.4,306.0
346.00,9.38,0.80,33.8,150.0
348.00,5.18,-0.04,4.0,133.0
348.10,9.86,1.16,65.4,150.0
349.00,7.84,1.12,32.5,137.0
350.00,4.95,0.62,74.2,44.0
351.00,6.17,0.44,25.9,101.0
352.00,5.76,0.87,150.7,68.0
352.00,5.07,0.88,150.7,68.0
353.00,4.44,1.36,9.3,20.0
353.01,14.10,1.47,28.3,29.0
354.00,8.41,1.22,73.7,38.0
355.00,5.75,0.44,33.3,71.0
356.00,5.24,0.84,132.6,23.0
357.00,4.07,-0.04,24.1,185.0
358.00,7.48,0.60,31.0,86.0
359.00,9.30,0.69,52.9,150.0
360.01,10.40,1.46,31.6,98.0
361.00,5.25,1.05,3.2,170.0
362.00,4.99,1.38,8.2,117.0
363.00,8.36,0.96,23.1,150.0
363.10,10.95,1.59,85.6,51.0
363.20,8.33,0.55,9.4,97.0
364.00,9.92,0.41,1.0,150.0
364.01,11.44,1.43,44.1,99.0
365.00,3.50,0.72,276.5,25.0
365.01,6.27,0.75,24.6,57.0
365.02,14.80,0.19,28.2,43.0
366.00,8.12,0.64,30.4,97.0
367.00,14.08,1.72,61.0,37.0
367.01,13.08,1.45,20.6,39.0
368.00,4.26,0.96,21.6,77.0
370.00,8.53,0.60,18.4,150.0
371.00,5.63,0.81,99.7,19.0
372.00,5.34,0.37,35.3,149.0
372.00,5.31,0.39,35.3,149.0
372.01,15.72,1.76,27.1,45.0
372.02,8.89,1.06,34.2,85.0
372.03,12.99,1.58,70.1,142.0
374.00,5.04,0.04,21.6,127.0
374.01,14.45,1.59,32.9,46.0
375.00,5.79,0.55,38.2,89.0
376.00,8.98,0.80,54.8,150.0
376.01,17.66,0.43,14.0,92.0
377.00,9.45,0.54,16.6,150.0
378.00,7.13,0.65,63.3,150.0
380.00,5.86,0.74,17.3,80.0
